,date,close,open,low,high,volume
259,2020-09-27 06-AM,10666.30849624,10742.08663358,10620.0,10747.33919894,649263.24728087
260,2020-09-27 07-AM,10675.09223483,10661.30849624,10653.48801868,10691.43629934,382759.00330264
261,2020-09-27 07-AM,10670.4,10675.09223482,10663.19467208,10681.74404605,286728.55989487
262,2020-09-27 08-AM,10645.51934879,10670.4,10640.3995999,10670.4,588721.40936467
263,2020-09-27 08-AM,10650.52776515,10645.51934879,10610.22237564,10665.75439658,248154.6552141
264,2020-09-27 09-AM,10639.72255949,10648.02655826,10620.01115811,10648.02655826,154785.60795216
265,2020-09-27 09-AM,10630.31269206,10639.72255948,10630.0,10655.64042241,224249.60883846
266,2020-09-27 10-AM,10645.0346586,10630.02495867,10625.90300262,10656.91239451,132988.18312495
267,2020-09-27 10-AM,10657.23122432,10645.03465859,10638.66178626,10676.86766416,170510.83665721
268,2020-09-27 11-AM,10655.51315314,10657.07207473,10649.5912776,10664.66717985,69020.0529778
269,2020-09-27 11-AM,10624.52579377,10655.51315314,10624.52579377,10655.51315314,148966.41995275
270,2020-09-27 12-PM,10653.68963962,10624.62160199,10586.89840003,10667.25103832,306233.10486729
271,2020-09-27 12-PM,10667.10423422,10653.97578842,10650.89517636,10669.99999999,218001.03897679
272,2020-09-27 01-PM,10673.96031421,10667.10423422,10656.6,10673.96031422,154939.83307581
273,2020-09-27 01-PM,10674.95246922,10673.96031422,10667.00728444,10682.62202978,95883.19660496
274,2020-09-27 02-PM,10666.63478127,10674.95246922,10660.0,10685.48166765,101095.30561892
275,2020-09-27 02-PM,10673.64629344,10669.01254302,10659.99343853,10674.61877847,116956.64786328
276,2020-09-27 03-PM,10655.73311822,10673.52746935,10636.8799178,10675.22745056,285913.92657544
277,2020-09-27 03-PM,10752.70478566,10655.71870363,10643.12961873,10764.18019205,271730.07503279
278,2020-09-27 04-PM,10740.24913129,10753.96312646,10729.85821872,10776.29148738,326227.8734458
279,2020-09-27 04-PM,10718.33378536,10740.24913129,10709.07787184,10747.09883666,288170.19823249
280,2020-09-27 05-PM,10714.88420146,10718.33378536,10708.56897778,10724.34105341,272456.94475702
281,2020-09-27 05-PM,10725.04322294,10714.99099098,10710.87623569,10738.11585144,219006.06977589
282,2020-09-27 06-PM,10738.17038209,10726.18273284,10726.18273284,10740.08716639,83423.68441188
283,2020-09-27 06-PM,10713.98678706,10738.17038209,10704.16666667,10740.08716639,90054.16746605
284,2020-09-27 07-PM,10717.93749976,10713.98678706,10711.72239778,10740.08716638,190157.61394237
285,2020-09-27 07-PM,10731.18659303,10717.93749976,10703.63925444,10738.80057272,133596.75942776
